Body 161: x = 893.903, y = -1457.213, z = 1728.086, Fx = -0.001, Fy = 0.002, Fz = -0.005
Body 162: x = -1261.000, y = -729.736, z = 1186.559, Fx = 0.001, Fy = 0.001, Fz = 0.001
Body 163: x = 535.056, y = -508.007, z = 874.455, Fx = -0.001, Fy = 0.000, Fz = -0.000
Body 164: x = -977.550, y = 1537.715, z = 80.471, Fx = 0.002, Fy = -0.004, Fz = 0.000
Body 165: x = 1959.631, y = -1663.975, z = 1319.712, Fx = -0.004, Fy = 0.003, Fz = -0.002
Body 166: x = 294.085, y = -773.988, z = -1404.147, Fx = -0.000, Fy = 0.000, Fz = 0.002
Body 167: x = 1278.123, y = 850.322, z = 1189.888, Fx = -0.002, Fy = -0.001, Fz = -0.001
Body 168: x = 1639.194, y = 555.471, z = -2019.887, Fx = -0.006, Fy = 0.005, Fz = 0.000
Body 169: x = -1042.412, y = -107.201, z = -575.231, Fx = 0.002, Fy = 0.001, Fz = 0.001
Body 170: x = 1059.623, y = 1798.816, z = 542.744, Fx = -0.001, Fy = -0.004, Fz = -0.000
Body 171: x = -653.363, y = 1763.881, z = 799.601, Fx = 0.000, Fy = -0.005, Fz = -0.001
Body 172: x = -1572.743, y = -1397.724, z = 760.614, Fx = 0.002, Fy = 0.003, Fz = -0.000
Body 173: x = -1204.578, y = 1374.315, z = -885.261, Fx = 0.001, Fy = -0.003, Fz = 0.001
Body 174: x = -1116.578, y = 1031.836, z = 815.917, Fx = 0.002, Fy = -0.001, Fz = -0.001
Body 175: x = 778.119, y = -1233.332, z = -290.918, Fx = -0.000, Fy = 0.002, Fz = 0.001
Body 176: x = 2028.635, y = -647.105, z = -2245.185, Fx = -0.003, Fy = 0.001, Fz = 0.003
Body 177: x = -114.755, y = 3321.882, z = -1129.646, Fx = 0.000, Fy = -0.002, Fz = 0.001
Body 178: x = -689.925, y = 687.727, z = 890.328, Fx = 0.001, Fy = -0.001, Fz = -0.001
Body 179: x = 197.154, y = -64.464, z = 237.939, Fx = -0.001, Fy = 0.001, Fz = -0.001
Body 180: x = 1797.718, y = -1659.595, z = -623.411, Fx = -0.003, Fy = 0.002, Fz = 0.000
Body 181: x = -1185.365, y = -1431.895, z = -173.991, Fx = 0.001, Fy = 0.003, Fz = 0.000
